,ФИО,Пол,Роль в мероприятии,Список компетенций,Должность,Категория,Начало трудового стажа,Место работы,Профессия,Дата рождения,Начало трудовой деятельности в РОСАТОМ,Образование,Место образования,Год оканчания,Специальность,Results,status,team_name
152,ФИО_152,1,Участник мероприятия,Аналитический контроль; ,студент,,2019,Озерский технологический институт - филиал Нияу мифи,,,,Получает высшее образование,ОТИ НИЯУ МИФИ,2024,18.05.02,31.26,s,
153,ФИО_153,1,Участник мероприятия,Электроника; ,,,27.06.2022,"ФГУП ""Комбинат ""Электрохимприбор""",,2001-11-08,,Информация об образовании не указана,,,,27.37,s,
154,ФИО_154,0,Участник мероприятия,Машинное обучение и большие данные; ,,,,Институт Атомной Энергетики Национальный Исследовательский Ядерный Университет «МИФИ»,,2000-10-26,,Информация об образовании не указана,,,,39.41,s,
155,ФИО_155,0,Участник мероприятия,Электромонтаж; ,Элетромонтер,Специалист (рабочие специальности),2019-01-14,АО СХК ЦГЭС,Электромонтаж,1998-07-04,2019-01-14,Информация об образовании не указана,,,,41.12,s,
156,ФИО_156,0,Участник не в оценке,Обслуживание и ремонт оборудования релейной защиты и автоматики; ,Эксперт,Инженер,2005-07-11,"ООО ""ЗапСибНефтехим""",Промышленная автоматика,1975-04-02,2022-07-26,Информация об образовании не указана,,,,60.7,s,
157,ФИО_157,0,Участник мероприятия,Мехатроника; ,Слесарь по КИПиА 4 разряда,Специалист (рабочие специальности),2012-11-01,"ФГУП ""ПО ""Маяк""",Мехатроника,1992-01-07,2016-07-01,Информация об образовании не указана,,,,44.65,t,Тузовский/Демешкевич ЯОК
158,ФИО_158,0,Участник мероприятия,Геодезия; ,главный специалист,Инженер,2006-08-01,Ведущий научно-исследовательский проектно-изыскательский институт промышленной технологии,нет в предлагаемом списке,1986-09-18,2011-03-16,Информация об образовании не указана,,,,72.05,t,Горнорудный дивизион
159,ФИО_159,1,Участник мероприятия,Машинное обучение и большие данные; ,Главный специалист,,03.2019,AKKUYU NKLEER ANONM RKET,,,21.04.2020,Информация об образовании не указана,,,,42.37,s,
160,ФИО_160,0,Участник мероприятия,Мехатроника; ,Слесарь по контрольно измерительным приборам и автоматике,,июн.11,"""ПАО """"Машиностроительный завод""""""",,22.06.1993,,Информация об образовании не указана,,,,44.61,t,"Денисов/Казикин АО ""ТВЭЛ"" 1"
161,ФИО_161,0,Участник мероприятия,Изготовление прототипов; ,Студент,,2022,Московский колледж архитектуры и градостроительства,,2004-04-13,Нет,Среднее профессиональное образование,МКАГ,2024,Нет,31.96,s,
162,ФИО_162,1,Участник мероприятия,Вывод из эксплуатации объектов использования атомной энергии; ,Руководитель направления по сопровождению деятельности производс,Инженер,2003-02-23,"АО ""Ангарский электролизный химический комбинат""",Вывод из эксплуатации объектов использования атомной энергии,1981-01-26,2003-02-22,Информация об образовании не указана,,,,64.1,t,ТВЭЛ
163,ФИО_163,1,Участник мероприятия,Электроника; ,Нет,,01.2019,Нет,,05.10.2002,,Информация об образовании не указана,,,,39.56,s,
164,ФИО_164,0,Участник мероприятия,Сетевое и системное администрирование; ,главный эксперт,,2005-01-01,"АО ""АтомЭнергоСбыт""",,1987-05-06,2021-07-18,Информация об образовании не указана,,,,61.26,t,"АО ""АЭС"" АО ""Консист-ОС"""
165,ФИО_165,0,Участник мероприятия,Управление жизненным циклом; ,Инженер-конструктор,,2016-02-24,"Филиал АО ""Концерн Росэнергоатом"" ""Балаковская атомная станция""",,1990-07-31,2016-02-24,Информация об образовании не указана,,,,49.07,t,Концерн команда-1
166,ФИО_166,0,Участник мероприятия,Программные решения для бизнеса; ,начальник отдела,,2000-07-03,"""ФГУП """"Горно-химический комбинат""""""",,1977-10-03,2000-07-03,Высшее образование без указания уровня,"БГТУ ""Военмех им. Д.Ф. Устинова""",2000,Лазерные системы,15.0,t,Экологические решения
167,ФИО_167,0,Участник мероприятия,Информационная безопасность; ,,,,ООО Газпромнефть - Цифровые решения,,1996-04-27,,Информация об образовании не указана,,,,11.41,t,ГПН ЦР
168,ФИО_168,0,Участник мероприятия,Электромонтаж; ,Студент,,,НВПК НИЯУ МИФИ,,,,Информация об образовании не указана,,,,20.07,s,
169,ФИО_169,1,Участник мероприятия,Инженер-конструктор; ,Инженер-конструктор,Инженер,2020-06-16,ФГУП «Приборостроительный завод им. К.А. Володина»,,1996-10-08,2020-06-16,Высшее образование без указания уровня,Национальный исследовательский ядерный университет «МИФИ»,2020,Проектирование технологических машин и комплексов,37.25,s,
170,ФИО_170,0,Участник мероприятия,Промышленная автоматика; ,Электромонтер,,мар.14,"""ФГУП """"ПО""""МАЯК""""""",,12.08.1993,,Информация об образовании не указана,,,,56.81,s,
171,ФИО_171,0,Участник мероприятия,Промышленная механика и монтаж; ,слесарь,Специалист (рабочие специальности),2007-02-11,"АО ""Концерн Росэнергоатом"" ""Ростовская атомная станция""",нет в предлагаемом списке,1986-10-18,2016-04-13,Информация об образовании не указана,,,,44.61333333,t,Рабочее место 2   Концерн команда 2
172,ФИО_172,0,Участник мероприятия,Неразрушающий контроль; ,Инженер по дефектоскопии 2 категорит,,,Филиал АО ''АЭМ-технологии'' ''Атоммаш'' в г. Волгодонск,,,,Информация об образовании не указана,,,,57.6,s,
173,ФИО_173,0,Участник мероприятия,Бетонные строительные работы; ,Арматурщик 6 разряда,Специалист (рабочие специальности),2008-07-15,Трест Рос Спец Энерго Монтаж,Изготовление прототипов,1985-01-14,2014-07-15,Информация об образовании не указана,,,,63.23,t,Рос СЭМ
174,ФИО_174,0,Участник мероприятия,Радиационный контроль; ,Инженер по радиационной безопасности 3 категории,,,"""АО """"Опытное Конструкторское Бюро Машиностроения имени И.И. Африкантова""""""",,,,Информация об образовании не указана,,,,45.9,s,
175,ФИО_175,0,Участник мероприятия,Бетонные строительные работы; ,Бетонщик 5 р,,,АО Никимт атомстрой,,,,Информация об образовании не указана,,,,70.78,t,НИКИМТ
176,ФИО_176,0,Участник мероприятия,Управление жизненным циклом; ,Инженер - конструктор,,2011-10-24,"""Акционерное общество """"Опытное конструкторское бюро машиностроения имени И.И. Африкантова""""""",,1990-09-03,2009-08-05,Информация об образовании не указана,,,,68.39,t,"Команда ""АЭМ-1"""
177,ФИО_177,0,Участник мероприятия,Инженерное мышление. Каракури; ,инженер,,,"""Филиал АО """"АЭМ-технологии"""" """"Петрозаводскмаш"""" в г. Петрозаводск""",,,,Информация об образовании не указана,,,,61.71,t,ПЗМ
178,ФИО_178,1,Участник мероприятия,Аналитический контроль; ,Инженер физико-химик,Инженер,"10,2018","""ФГУП """"Горно-химический комбинат""""""",,03.09.1996,05.2020,Высшее образование без указания уровня,"ФГАОУ ВО ""Сибирский федеральный университет"";ФГБОУ ВО ""Сибирский государственный университет науки и технологий им. ак. М.Ф. Решетнева""",2018;2021,Химия;Управление качеством,70.33,s,
179,ФИО_179,0,Участник мероприятия,Квантовые технологии; ,,,,"Национальный исследовательский ядерный университет ""МИФИ""",,2002-04-12,,Информация об образовании не указана,,,,48.06,s,
180,ФИО_180,0,Участник мероприятия,Программные решения для бизнеса; ,,,,"АО ""Цифровые платформы и решения Умного города""",,,,Информация об образовании не указана,,,,66.78,t,"АО ""РИР"" Team-2"
181,ФИО_181,0,Участник мероприятия,Инженерное мышление. Каракури; ,Эл.слесарь по ремонту автоматики и средств измерений эл.станций,Специалист (рабочие специальности),2007-04-12,Акционерное общество «Русатом Инфраструктурные решения»,Каракури,1988-09-06,2012-04-01,Информация об образовании не указана,,,,79.38,t,"АО ""РИР"""
182,ФИО_182,0,Участник мероприятия,Инженерное проектирование; ,Инженер-проектировщик 2 категории,Инженер,01.03.2021,АО «Государственный специализированный проектный институт»,,22.05.1997,01.03.2021,Высшее образование без указания уровня,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Томский политехнический университет».,2021,Химическая технология материалов современной энергетики,5.0,t,ГСПИ_1
183,ФИО_183,0,Участник мероприятия,Охрана труда; ,Специалист по охране труда 2 категории,Специалист (рабочие специальности),2016-02-01,Институт теоретической и математической физики,Охрана труда,1994-08-23,2018-11-22,Информация об образовании не указана,,,,46.95,s,
184,ФИО_184,0,Участник мероприятия,Инженерное проектирование; ,Инженер-конструктор 3 кат,,09.2016,"""ФГУП """"Производственное объединение """"Маяк""""""",,,,Информация об образовании не указана,,,,5.0,t,МАЯК_2_Фрэшмены
185,ФИО_185,0,Участник мероприятия,Строительный контроль; ,"Заместитель начальника цеха по ремонту, строительству и монтажу",Руководитель,2014-11-11,ФГУП комбинат электрохимприбор,нет в предлагаемом списке,1991-10-14,2014-11-11,Информация об образовании не указана,,,,55.5,t,№ 8
186,ФИО_186,0,Участник мероприятия,Инженерное мышление. Каракури; ,Мастер,,2006-05-05,"Акционерное общество ""Научно-исследовательский институт Научно-производственное объединение ""ЛУЧ""",,1984-01-29,2020-07-02,Высшее образование без указания уровня,Мгупи,2008,Приборостроение ,69.04,t,ЛУЧ
187,ФИО_187,0,Участник мероприятия,Сетевое и системное администрирование; ,Ведущий специалист,Специалист (рабочие специальности),2019-08-28,"АО ФЦНИВТ СНПО ""ЭЛЕРОН""",Сетевое и системное администрирование,1997-12-20,2021-08-28,Информация об образовании не указана,,,,4.34,t,Элерон
188,ФИО_188,0,Участник мероприятия,Сварочные технологии; ,Электросварщик,,,Аэм технологии Атоммаш,,,,Информация об образовании не указана,,,,62.67,s,
189,ФИО_189,1,Участник мероприятия,Вывод из эксплуатации объектов использования атомной энергии; ,Экономист по планированию,,2010-10-01,"""ФГУП """"ПО"""" Маяк""""""",,1987-04-30,2017-10-01,Высшее образование без указания уровня,ЮУРГУ,2012,Экономист,55.99,t,Маяк-2
190,ФИО_190,0,Участник не в оценке,Инженерное проектирование; ,Инженер-конструктор,,01.2014,"""АО """"ЕВРАЗ ОБЪЕДИНЕННЫЙ ЗАПАДНО-СИБИРСКИЙ МЕТАЛЛУРГИЧЕСКИЙ КОМБИНАТ""""""",,,,Информация об образовании не указана,,,,5.0,t,"АО ""ЕВРАЗ ЗСМК"""
191,ФИО_191,0,Участник мероприятия,Квантовые технологии; ,,,,Ордена Трудового Красного Знамени ФГБОУ ВО «Московский технический университет связи и информатики»,,2003-06-09,,Информация об образовании не указана,,,,38.11,s,
192,ФИО_192,0,Участник мероприятия,Инженер-конструктор; ,инженер-конструктор 2 категории,,,Филиал АО ''АЭМ-технологии'' ''Атоммаш'' в г. Волгодонск,,,,Информация об образовании не указана,,,,26.0,s,
193,ФИО_193,1,Участник мероприятия,Управление жизненным циклом; ,Инженер - конструктор 3 категории,Инженер,02.08.2021,"Акционерное общество ""Опытное Конструкторское Бюро Машиностроения имени И.И. Африкантова""",нет в предлагаемом списке,15.12.1997,02.08.2021,Информация об образовании не указана,,,,68.39,t,"Команда ""АЭМ-1"""
194,ФИО_194,1,Участник мероприятия,Радиационный контроль; ,Дозиметрист,,июн.15,АО ''ИНСТИТУТ РЕАКТОРНЫХ МАТЕРИАЛОВ'',,18.02.1987,,Информация об образовании не указана,,,,48.2,s,
195,ФИО_195,0,Участник мероприятия,Цифровое ПСР-Предприятие (Lean Smart Plant); ,Ведущий специалист по планированию,Инженер,2007-08-10,"Акционерное общество ""Центральное конструкторское бюро машиностроения""",нет в предлагаемом списке,1984-11-07,2020-06-12,Информация об образовании не указана,,,,40.34,t,"Команда ""АЭМ-ЦКБМ"""
196,ФИО_196,0,Участник мероприятия,Водитель спецавтомобиля; ,Водитель,,04.2019,ФГУП ПО «Маяк»,,26.09.1979,,Информация об образовании не указана,,,,58.55,s,
197,ФИО_197,0,Участник мероприятия,Изготовление прототипов; ,Шлифовшик,Специалист (рабочие специальности),2008-03-11,Фгуп по маяк,нет в предлагаемом списке,1986-09-22,2008-03-10,Информация об образовании не указана,,,,26.18,s,
198,ФИО_198,0,Участник мероприятия,Промышленная механика и монтаж; ,Инженер по ремонту,Инженер,2013-09-27,"АО ""МСЗ""",Промышленная автоматика,1985-01-14,2013-09-27,Среднее профессиональное образование и высшее образование без указания уровня,Московский институт стали и сплавов;Московский областной политехнический колледж,2008;2004,Машины и обработка металлов давлением;Автоматизация технологических процессов и производств,40.59111111,t,"Рабочее место 3   АО ""ТВЭЛ"" 1"
199,ФИО_199,1,Участник мероприятия,Технологические системы энергетических объектов; ,Инженер-проектировщик 3 категории,,,АО «АТОМПРОЕКТ»,,,,Информация об образовании не указана,,,,31.75,s,
200,ФИО_200,0,Участник мероприятия,Информационная безопасность; ,Инженер-программист,,,"""АО """"Сибирский химический комбинат""""""",,,,Информация об образовании не указана,,,,4.8,t,"АО ""ТВЭЛ"" 1"
201,ФИО_201,0,Участник мероприятия,Работы на фрезерных универсальных станках; ,Фрезероащик 5 разряда,,08.2012,"""АО """"Чепецкий Механический Завод",,11.09.1991 .09.1991,,Информация об образовании не указана,,,,30.93,s,
202,ФИО_202,0,Участник мероприятия,Управление качеством; ,"Контролер основного производства,5 разряда",Специалист (рабочие специальности),2004-03-05,"Федеральное государственное унитарное предприятие ""Горно-химический комбинат",Управление качеством,1985-06-05,2017-12-18,Информация об образовании не указана,,,,33.62,t,Экологические решения
203,ФИО_203,0,Участник мероприятия,Инженер-конструктор; ,Инженер-конструктор 1 категории,Инженер,2017-08-25,СГТ 037,Инженер-конструктор,1995-07-02,2017-08-25,Информация об образовании не указана,,,,51.38,s,
204,ФИО_204,0,Участник мероприятия,Сварочные технологии; ,Электросварщик ручной сварки,Специалист (рабочие специальности),2000-05-15,Цех 90,Сварочные технологии,1976-11-06,2000-05-15,Информация об образовании не указана,,,,48.08,s,
205,ФИО_205,0,Участник мероприятия,Бетонные строительные работы; ,Плотник,Специалист (рабочие специальности),2000-08-01,Ремонтно-строительно-монтажный цех 097,нет в предлагаемом списке,1982-12-30,2004-10-01,Среднее профессиональное образование,"ГБПОУ Свердловской области ""Исовский геологоразведочный техникум"";Профессиональный лицей 78 г. Лесной",2019;2000,"Техническое обслуживание и ремонт автомобильного транспорта;Столяр строительный, плотник",51.8,t,"ФГУП ""Комбинат"" Электрохимприбор"""
206,ФИО_206,0,Участник мероприятия,Работы на фрезерных универсальных станках; ,Фрезеровщик,,09.2007,АО ЧМЗ,,26.03.1984,,Информация об образовании не указана,,,,47.71,s,
207,ФИО_207,0,Участник мероприятия,Аналитический контроль; ,Лаборант химического анализа РО и СВО,,2020-09-08,Ростовская АЭС,,1995-03-24,2020-09-08,Высшее образование без указания уровня,нияу мифи,2018,Химия,35.63,s,
208,ФИО_208,0,Участник мероприятия,Инженерное мышление. Каракури; ,Слесарь сборщик ЯБП,Специалист (рабочие специальности),2005-01-17,"""ФГУП """"Комбинат """"Электрохимприбор""""""",Инженерное проектирование,1982-07-14,2005-01-17,Информация об образовании не указана,,,,80.91,t,ЭХП
209,ФИО_209,0,Участник мероприятия,Охрана труда; ,ведущий специалист,,"11,2011",Акционерное общество «Русатом Автоматизированные системы управления»,,,,Информация об образовании не указана,,,,32.05,s,
210,ФИО_210,0,Участник мероприятия,Обслуживание и ремонт оборудования релейной защиты и автоматики; ,Ведущий инженер по РЗА,Руководитель,02.2013,"""АО """"РИР"""" филиал в г. Озерске""",,,2021,Информация об образовании не указана,,,,58.5,s,
211,ФИО_211,0,Участник мероприятия,Информационная безопасность; ,Специалист,Специалист (рабочие специальности),2021-05-13,АО Гринатом,Информационная безопасность,2002-01-19,2022-04-06,Информация об образовании не указана,,,,17.28,t,"Команда АО ""Гринатом"""
212,ФИО_212,0,Участник мероприятия,Охрана труда; ,Техних по охране труда,,01.06.2021,"""АО """"Владимирское производственное объединение """"Точмаш""""""",,,01.06.2021,Информация об образовании не указана,,,,35.25,s,
213,ФИО_213,0,Участник мероприятия,Электроника; ,Р-248,Студент,2022-04-11,Студент,Электроника,2004-03-29,2022-04-11,Информация об образовании не указана,,,,25.39,s,
214,ФИО_214,1,Участник мероприятия,Аналитический контроль; ,лаборант химического анализа 5 разряда,,2010-03-18,Чепецкий механический завод,,1986-04-10,2020-03-18,Информация об образовании не указана,,,,63.04,s,
215,ФИО_215,1,Участник мероприятия,Управление жизненным циклом; ,Инженер,,22.07.2019,Служба управления проектами,,1998-04-19,2019-07-22,Информация об образовании не указана,,,,64.88,t,"ЯОК ""ЭХП"""
216,ФИО_216,0,Участник мероприятия,Управление жизненным циклом; ,—,,февраль 2020,ТИ НИЯУ МИФИ,,15.12.1998,,Высшее образование без указания уровня,ТИ НИЯУ МИФИ,2020,Инженер конструктор-технолог,64.88,t,"ЯОК ""ЭХП"""
217,ФИО_217,0,Участник мероприятия,Электроника; ,Электрослесарь по ремонту и обслуживанию автоматики и средства измерений электростанций 6 разряда,,08.2020,"""""""Лениградска атомная станция"""" (Лениградская АЭС)""",,22.05.1998,,Информация об образовании не указана,,,,54.86,s,
218,ФИО_218,0,Участник мероприятия,Вывод из эксплуатации объектов использования атомной энергии; ,Инженер по выводу из эксплуатации,,июл.08,"""АО """"Ангарский электролизный химический комбинат""""""",,05.05.1986,,Информация об образовании не указана,,,,68.2,t,АЭХК
219,ФИО_219,0,Участник мероприятия,Инженерное проектирование; ,Инженер-проектировщик 2 категории,Инженер,2019-12-17,АО Государственный специализированный проектный институт,Инженерное проектирование,1997-08-07,2020-11-02,Информация об образовании не указана,,,,5.0,t,ГСПИ_1
220,ФИО_220,0,Участник мероприятия,Бетонные строительные работы; ,Монтажник,Специалист (рабочие специальности),2012-05-30,Титан 2,нет в предлагаемом списке,1991-02-23,2013-09-18,Информация об образовании не указана,,,,77.88,t,"АО ""КОНЦЕРН ТИТАН 2"" Команд 1"
221,ФИО_221,0,Участник мероприятия,Программные решения для бизнеса; ,,,,"ФГУП ""Комбинат ""Электрохимприбор""",,,,Информация об образовании не указана,,,,43.67,t,ЯОК ЭХП
222,ФИО_222,0,Участник мероприятия,Машинное обучение и большие данные; ,Эксперт,Инженер,2007-10-08,"""Акционерное общество """"Атомэнергосбыт""""""",Программист,1986-03-06,2018-04-23,Информация об образовании не указана,,,,43.94,s,
223,ФИО_223,0,Участник мероприятия,Фрезерные работы на станках с ЧПУ; ,Наладчик станков и манипуляторов с программным управлением,,08.2004,"""АО """"Владимирское производственное объединение """"Точмаш""""""",,27.05.1986,,Информация об образовании не указана,,,,43.11,s,
224,ФИО_224,0,Участник мероприятия,Управление жизненным циклом; ,Инженер-технолог 2 категории,Инженер,12.03.2018,"""АО """"ВПО"""" Точмаш"""" - Центр ОКР",,30.09.1994,12.03.2018,Высшее образование без указания уровня,КГТА им. В.А. Дегтярева ,2018,"Стрелково-пушечное, артиллерийское и ракетное оружие ",44.54,t,"АО ""ТВЭЛ"" 2"
225,ФИО_225,0,Участник мероприятия,Геодезия; ,начальник отдела,,2000-05-05,"""ФГУП """"Национальный оператор по обращению с радиоактивными отходами""""""",,1977-05-15,2021-08-04,Высшее образование без указания уровня,"ФГАОУ ВПО «Сибирский федеральный университет», г.Красноярск",2009,Водоснабжение и водоотведение,45.05,t,РАО
226,ФИО_226,0,Участник мероприятия,Радиационный контроль; ,Дозиметрист 6 разряда,,апр.19,"""АО """"Уральский электрохимический комбинат""""""",,15.07.1988,,Информация об образовании не указана,,,,74.2,s,
227,ФИО_227,1,Участник мероприятия,Инженерное проектирование; ,Студент,,2022,Нет,,,2018,Неоконченное высшее образование,ИАТЭ НИЯУ МИФИ,2024,14.05.02,5.0,t,МИФИ
228,ФИО_228,0,Участник мероприятия,Промышленная механика и монтаж; ,Электрослесарь,Специалист (рабочие специальности),2018-11-19,"Филиал АО ""КОНЦЕРН РОСЭНЕРГОАТОМ""""РОСТОВСКАЯ АТОМНАЯ СТАНЦИЯ""",Электромонтаж,1997-12-21,2018-11-19,Информация об образовании не указана,,,,44.61333333,t,Рабочее место 2   Концерн команда 2
229,ФИО_229,0,Участник мероприятия,Строительный контроль; ,Инженер 1 категории,Инженер,26.09.2011,"АО ""Концерн Росэнергоатом"", филиал ""Курская атомная станция"", Управление капитального строительства Курской АЭС-2",нет в предлагаемом списке,1991-07-21,2015-09-14,Информация об образовании не указана,,,,74.5,t,№4
230,ФИО_230,0,Участник мероприятия,Программные решения для бизнеса; ,Преподаватель,,09.2003,Уральский технологический колледж филиал НИЯУ МИФИ,,,04.2009,Информация об образовании не указана,,,,19.0,t,НИЯУ МИФИ
231,ФИО_231,0,Участник мероприятия,Неразрушающий контроль; ,Мастер участка дефектоскопии,,фев.14,Филиал АО ''Концерн Росэнергоатом'' ''Балаковская атомная станция'',,24.09.1990,2012,Информация об образовании не указана,,,,63.4,s,
232,ФИО_232,0,Участник мероприятия,Информационная безопасность; ,,,,"""АО """"Ордена Трудового Красного Знамени и ордена труда ЧССР - опытное конструкторское бюро """"ГИДРОПРЕСС""""""",,,,Информация об образовании не указана,,,,5.73,t,"АО ""РИР+АО ""ИРМ"" + ОКБ Гидропресс"
233,ФИО_233,0,Участник мероприятия,Радиационный контроль; ,,,,Иатэ НИЯУ МИФИ,,1999-07-14,,Информация об образовании не указана,,,,34.3,s,
234,ФИО_234,1,Участник мероприятия,Управление жизненным циклом; ,Специалист,,02.09.2019,АО Чепецкий механический завод,,,02.10.2019,Информация об образовании не указана,,,,42.69,t,"АО ""ТВЭЛ"" 1"
235,ФИО_235,0,Участник мероприятия,Инженерное проектирование; ,Нет,,Нет,БИТИ НИЯУ МИФИ,,,Нет,Среднее общее образование,БИТИ НИЯУ МИФИ,23,Инженер-строитель,5.0,t,МИФИ
236,ФИО_236,0,Участник мероприятия,Управление жизненным циклом; ,инженер 2 категории,,ноя.07,"""АО Нижегородская инжиниринговая компания """"Атомэнергопроект"""" (АО """"НИАЭП"""")""",,06.12.1981,,Информация об образовании не указана,,,,56.03,t,"Команда ""АСЭ"""
237,ФИО_237,0,Участник мероприятия,Управление жизненным циклом; ,Инженер-конструктор,Инженер,2010-01-18,"""ФГУП """"ПО """"Маяк""""""",Инженер-конструктор,1986-10-06,2010-01-18,Информация об образовании не указана,,,,59.39,t,"ЯОК ""МАЯК"""
238,ФИО_238,0,Участник мероприятия,Охрана труда; ,Специалист по охране труда 1 категории,,08.2010,АО «Инжиниринговая компания «АЭМ-технологии»,,,,Информация об образовании не указана,,,,45.71,s,
239,ФИО_239,0,Участник мероприятия,Обслуживание и ремонт оборудования релейной защиты и автоматики; ,Инженер участка релейной защиты и автоматики главной схемы,Инженер,2015-08-01,Филиал АО «Концерн Росэнергоатом» «Кольская атомная станция»,нет в предлагаемом списке,1992-06-13,2018-04-09,Информация об образовании не указана,,,,85.7,s,
240,ФИО_240,0,Участник мероприятия,Сетевое и системное администрирование; ,Младший специалист WS,,04.2020,АО «Гринатом»,,11.01.2002,,Информация об образовании не указана,,,,40.97,t,Браво
241,ФИО_241,0,Участник мероприятия,Программные решения для бизнеса; ,главный эксперт,Инженер,2017-09-29,Атомстройэкспорт,Программист,1996-02-18,2021-07-20,Информация об образовании не указана,,,,65.33,t,АСЭ Team-2
242,ФИО_242,1,Участник мероприятия,Управление жизненным циклом; ,Инженер-технолог 2 категории,,июл.1215.01.2015,"""ФГУП """"Комбинат """"Электрохимприбор""""""",,27.01.1992,15.01.2015,Высшее образование без указания уровня,ТИ НИЯУ МИФИ;ТИ НИЯУ МИФИ,2020;2014,Инженер-технолог;Экономист-менеджер,64.88,t,"ЯОК ""ЭХП"""
243,ФИО_243,1,Участник мероприятия,Охрана труда; ,,,,Снежинкий физико-технический институт НИЯУ МИФИ,,2001-08-04,,Информация об образовании не указана,,,,53.3,s,
244,ФИО_244,0,Участник мероприятия,Инженерное проектирование; ,Инженер- конструктор 3 категории,,2019,Федеральное государственное унитарное предприятие «Производственное объединение «Маяк»,,,2019,Высшее образование без указания уровня,ОТИ НИЯУ МИФИ,2015,140211 Электроснабжение,5.0,t,МАЯК_2_Фрэшмены
245,ФИО_245,0,Участник мероприятия,Работы на токарных универсальных станках; ,токарь,,авг.02,"""АО """"Сибирский химический комбинат""""""",,23.02.1984,,Информация об образовании не указана,,,,54.65,s,
246,ФИО_246,0,Участник мероприятия,Квантовые технологии; ,,,2022,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Национальный исследовательский уни",,1992-02-16,,Высшее образование без указания уровня,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Национальный исследовательский университет ""МЭИ""",2022,Ядерная энергетика и теплофизиа,15.9,s,
247,ФИО_247,0,Участник мероприятия,Цифровое ПСР-Предприятие (Lean Smart Plant); ,Ведущий инженер технолог,Инженер,2006-02-10,АО «Инжиниринговая компания «АЭМ-технологии»,Сварочные технологии,1985-08-24,2011-02-14,Высшее образование без указания уровня,БГТУ им. Д.Ф. Устинова,2006,Инженер лазерных систем,59.8,t,"Команда ""АЭМ-ЦКБМ"""
248,ФИО_248,0,Участник мероприятия,Работы на токарных универсальных станках; ,токарь,,сен.97,"""АО """"Опытное Конструкторское Бюро Машиностроения имени И.И. Африкантова""""""",,21.04.1979,,Информация об образовании не указана,,,,48.89,s,
249,ФИО_249,0,Участник мероприятия,Промышленная механика и монтаж; ,Слесарь-ремонтник,,,"""АО """"инжиноринговая компания """"АЭМ-технологии"""" """"Петрозаводскмаш""""""",,,,Информация об образовании не указана,,,,38.02,t,"Рабочее место 10 Команда ""АЭМ-""ПЗМ"""
250,ФИО_250,0,Участник мероприятия,Управление жизненным циклом; ,Ведущий инженер,,2009-03-10,Филиал АО ''Концерн Росэнергоатом'' ''Калининская атомная станция'',,1986-08-30,2009-03-10,Высшее образование без указания уровня,Ивановский государственный энергетический университет имени В.И. Ленина;Ивановский государственный энергетический университет имени В.И. Ленина,2008;2009,экономика и управление на предприятии;атомные электрические станции и установки,41.88,t,Концерн команда-2
251,ФИО_251,0,Участник мероприятия,Вывод из эксплуатации объектов использования атомной энергии; ,Инженер по организации эксплуатации и ремонту зданий и сооружен,Инженер,2000,"""ОАО """"Российский концерн по производству электрической и тепловой энергии на атомных станциях """"Росэнергоатом""""""",Вывод из эксплуатации объектов использования атомной энергии,10.05.1980,20.10.2017,Информация об образовании не указана,,,,79.37,t,ОДИЦ
252,ФИО_252,0,Участник мероприятия,Мехатроника; ,нет,,,Озёрский Технический Колледж,,,,Информация об образовании не указана,,,,43.53,t,Мешков/Канашов ОзТК
253,ФИО_253,0,Участник мероприятия,Электромонтаж; ,Электромонтёр 5 разряд,,сен.19,ФГУП РФЯЦ ВНИИЭФ,,13.09.1999,,Информация об образовании не указана,,,,47.88,s,
254,ФИО_254,0,Участник мероприятия,Инженерное проектирование; ,Ведущий специалист,,09.2020,"""АО """"Центральный проектно-технологический институт""""""",,,,Информация об образовании не указана,,,,5.0,t,"АО ""ТВЭЛ"" 1"
255,ФИО_255,0,Участник мероприятия,Строительный контроль; ,Руководитель направления,,03.2016,АО «Государственный специализированный проектный институт» ,,,,Информация об образовании не указана,,,,48.75,t,№ 3
256,ФИО_256,0,Участник мероприятия,Электроника; ,Лаборант,,01.09.2019,ГАПОУ СО УРТК им. А.С. Попова,,,01.09.2019,Неоконченное среднее профессиональное образование,ГАПОУ СО УРТК им. А.С.Попова,2023,11.02.01 радиоаппаратостроение,48.13,s,
257,ФИО_257,0,Участник мероприятия,Управление качеством; ,Студент,Студент,27.07.2022,Государственный университет аэрокосмического приборостроения,Управление качеством,2002-04-25,2022-07-27,Информация об образовании не указана,,,,9.8,t,ГУАП
258,ФИО_258,0,Участник мероприятия,Вывод из эксплуатации объектов использования атомной энергии; ,Инженер строительного контроля,Инженер,2006-07-10,Управление Капитального Строительства,Вывод из эксплуатации объектов использования атомной энергии,1986-09-15,2013-11-27,Информация об образовании не указана,,,,86.61,t,Нововоронежская АЭС
259,ФИО_259,1,Участник мероприятия,Охрана труда; ,,,,,,,,Информация об образовании не указана,,,,40.55,s,
